WKT,municipio_colonia
"MULTIPOLYGON (((-110.218997340092 29.825817838021,-110.218234435202 29.8207506869049,-110.226612778487 29.8172921627086,-110.228649305933 29.8195105112517,-110.229469256902 29.8206624970264,-110.22954006469 29.8235685947943,-110.229838882657 29.8246756699879,-110.231681240591 29.8265304173867,-110.231796359908 29.8278959655297,-110.23090143406 29.8279128689758,-110.23030703462 29.8278178352101,-110.229486073895 29.8275942950352,-110.229294400188 29.8274812560429,-110.227835579096 29.8275504149653,-110.227748163712 29.8272639410347,-110.226978817881 29.8273934307244,-110.226359111334 29.8274839508502,-110.226377994925 29.8276253145419,-110.226005881523 29.8276557125175,-110.225572229614 29.8276502863467,-110.225528603028 29.8266891198855,-110.225435047387 29.8261212416518,-110.22407185313 29.8264107474093,-110.22349181261 29.8264598473028,-110.222373802012 29.8265686206023,-110.221636963563 29.8266827540234,-110.220598173727 29.8268613413776,-110.219657321991 29.8269569858807,-110.218997340092 29.825817838021)))","Aconchi, Centro"
"MULTIPOLYGON (((-110.218997340092 29.825817838021,-110.219657321991 29.8269569858807,-110.220598173727 29.8268613413776,-110.221636963563 29.8266827540234,-110.222373802012 29.8265686206023,-110.22349181261 29.8264598473028,-110.22407185313 29.8264107474093,-110.225435047387 29.8261212416518,-110.225528603028 29.8266891198855,-110.225572229614 29.8276502863467,-110.226005881523 29.8276557125175,-110.226377994925 29.8276253145419,-110.226359111334 29.8274839508502,-110.226978817881 29.8273934307244,-110.227748163712 29.8272639410347,-110.227835579096 29.8275504149653,-110.229294400188 29.8274812560429,-110.229486073895 29.8275942950352,-110.23030703462 29.8278178352101,-110.23090143406 29.8279128689758,-110.231796359908 29.8278959655297,-110.232127471827 29.8318234070306,-110.229040237688 29.8318202141469,-110.218144007328 29.8318083685309,-110.217754580134 29.827552218631,-110.218997340092 29.825817838021)))","Aconchi, Norte"
"MULTIPOLYGON (((-109.535136566812 31.3246027678457,-109.53503642048 31.3236173417175,-109.534936289831 31.3226319204624,-109.534844159312 31.3216201073421,-109.534758926313 31.3206841406859,-109.534662797564 31.3196790442305,-109.534613898457 31.319138785634,-109.53457956201 31.3187141501317,-109.534488023531 31.3177087144911,-109.535037877863 31.3177064269378,-109.535558433389 31.3177042593624,-109.536107871649 31.3177019681782,-109.536615337676 31.3176998512403,-109.537760572799 31.3176950647089,-109.538760333338 31.3176908783625,-109.53989861262 31.3176861016635,-109.539930138027 31.3181619638673,-109.539978986308 31.318674929566,-109.540093086908 31.3196446361674,-109.540150004289 31.3206540813311,-109.54025485048 31.3216201427798,-109.540336947191 31.322579624023,-109.540456018434 31.3235748940852,-109.540512656209 31.3246023405172,-109.539469280597 31.3246053992832,-109.53843215105 31.3245769901352,-109.537323218482 31.324566995454,-109.536199630901 31.3245843407304,-109.535136566812 31.3246027678457)))","Agua Prieta, Acapulco"
"MULTIPOLYGON (((-109.518019134221 31.3091493694383,-109.517922316251 31.3085494575355,-109.517799016074 31.3079144237493,-109.51772805795 31.3072095923977,-109.517732551321 31.306520778326,-109.51765828965 31.3057743622984,-109.514643121717 31.3053621320079,-109.512553655158 31.3021218607678,-109.512542021136 31.3018040732352,-109.512323266136 31.2958283894705,-109.515281787036 31.2904573426985,-109.518025762469 31.2901181843458,-109.519346119043 31.2900982539854,-109.519878174747 31.2900902187993,-109.520579756671 31.290067416308,-109.521799284294 31.2900562927668,-109.5228767494 31.2900590320652,-109.522873750201 31.2911981417029,-109.522866271214 31.2919860726443,-109.522862075218 31.2924281109648,-109.522857878202 31.2928701497228,-109.522853511381 31.2933301634556,-109.522849143592 31.293790178481,-109.523820864689 31.2938044713861,-109.524882314479 31.2938204531879,-109.525969788022 31.2938007178883,-109.527019274218 31.2938124564237,-109.528042821892 31.2938132396894,-109.52914412552 31.2938129301823,-109.5291548285 31.2942559237609,-109.529165532656 31.29469891768,-109.529188667648 31.2956564191315,-109.529216044286 31.2967894696016,-109.526934178683 31.296928264712,-109.52407461282 31.2991855330236,-109.524147557996 31.2999385929696,-109.524174792007 31.3002197387613,-109.524210450325 31.3005878705825,-109.524238379625 31.3008761999767,-109.52427350592 31.3012388293409,-109.524300962969 31.3015222754034,-109.524340108705 31.3019263959391,-109.524409113624 31.3026387497048,-109.524440695877 31.3029376900584,-109.524477734781 31.3032882602031,-109.524512774773 31.3036199172793,-109.524546357923 31.3039377902134,-109.524572041962 31.3041808659319,-109.524603453915 31.3044781897666,-109.524629055568 31.3047205140372,-109.524660818221 31.3050211342259,-109.524698335679 31.3053762341255,-109.524735853352 31.3057313336892,-109.524773430782 31.3060869952229,-109.524811009529 31.3064426572698,-109.524921019188 31.3068013624215,-109.52499736555 31.3072463685539,-109.525006873199 31.3075065139762,-109.525011663857 31.307617642102,-109.525026439025 31.3078935646549,-109.525042021431 31.3081845505392,-109.525056716607 31.3084596252165,-109.523108154442 31.3085300496264,-109.522714785038 31.3086999655243,-109.52238817073 31.309098763112,-109.522153998976 31.3092996956678,-109.521959978838 31.3093862987529,-109.521623439205 31.3094221498344,-109.520593424947 31.3093889390551,-109.519900312897 31.3091391426299,-109.518019134221 31.3091493694383)))","Agua Prieta, Bachicuy"
"MULTIPOLYGON (((-109.543897345097 31.3083890612037,-109.544881409637 31.3083826175918,-109.545868872025 31.3083726965663,-109.545905115048 31.3087427781254,-109.545956696217 31.3092694706942,-109.545996589168 31.3096768052459,-109.546013110933 31.3099791814381,-109.546090414051 31.3106371559249,-109.546138446503 31.3110868000773,-109.546170675689 31.3114961184203,-109.546206346205 31.3119491490588,-109.546301954169 31.3128046483002,-109.546321508224 31.3129789653352,-109.546330093062 31.3130734397646,-109.546169444968 31.3130991249095,-109.546060926437 31.313127838256,-109.545388198619 31.3134484155047,-109.544356519597 31.3139400465375,-109.544300659283 31.3131155468348,-109.544257285131 31.3125641129463,-109.544209858502 31.31203065942,-109.544173090283 31.3116054716073,-109.544133694278 31.3111284061894,-109.544124647016 31.3107464507992,-109.54412153165 31.3106896340048,-109.544089076701 31.3100948601934,-109.544038270023 31.3097380513984,-109.543996025714 31.309232732483,-109.543953440932 31.3087758699615,-109.543897345097 31.3083890612037)))","Agua Prieta, Beltrones"
"MULTIPOLYGON (((-109.553118774637 31.2897030799579,-109.553128997599 31.2892058287875,-109.55313536922 31.288332652468,-109.553141956991 31.2874296629704,-109.553129895523 31.2865504701988,-109.553117178865 31.2856234748746,-109.553104693956 31.284713392486,-109.553079999653 31.2829133357863,-109.553026256594 31.28170516018,-109.561524436296 31.2820624735729,-109.561529411652 31.2847824008579,-109.561508676754 31.2855370955726,-109.561482195288 31.2865009698349,-109.56145533058 31.2874787129592,-109.561442319225 31.2883217503701,-109.561428381621 31.2891661172022,-109.561404213925 31.2900764946103,-109.560414270878 31.2900871569875,-109.559392690428 31.290111390297,-109.558351244058 31.2901339440626,-109.557363846072 31.2900880204304,-109.557363710346 31.2896881597985,-109.556252564226 31.2896858620257,-109.555237890293 31.2896806991881,-109.554167137632 31.2896941146325,-109.553118774637 31.2897030799579)))","Agua Prieta, Bicentenario"
"MULTIPOLYGON (((-109.582665053077 31.326290949184,-109.582520029841 31.3252403272615,-109.583309999555 31.3251100021442,-109.583519999856 31.3250733352902,-109.58373000011 31.3250383352018,-109.583933332902 31.3250050016393,-109.584133332919 31.3249700019755,-109.584328332884 31.3249383348225,-109.584520000168 31.3249066686292,-109.584584638776 31.3248957030727,-109.584706666255 31.3248750018559,-109.58489166593 31.3248433350217,-109.585079999339 31.3248133355596,-109.585266666284 31.3247833351396,-109.585421152416 31.3247582848746,-109.585626666196 31.3247216689319,-109.585951666221 31.3246533338742,-109.586110608435 31.3246113290639,-109.586442917981 31.3249280788728,-109.586638377653 31.3251061020668,-109.58676489433 31.3252273190536,-109.586973489961 31.3254443568366,-109.58717060177 31.3257044396224,-109.587263950049 31.3259062736967,-109.58736759162 31.3262345844037,-109.58738548584 31.3263803601723,-109.587127254642 31.326380536804,-109.58704766113 31.3263786047697,-109.586598126242 31.3263723817912,-109.582985380666 31.3262977420198,-109.582665053077 31.326290949184)))","Agua Prieta, Buena Vista"
"MULTIPOLYGON (((-109.537741130401 31.3077761903287,-109.537687908113 31.3071564343476,-109.537630101761 31.3068076588884,-109.53757182915 31.3064955288355,-109.537495506093 31.3060135030356,-109.537459546425 31.3056143684944,-109.537443707004 31.3052923471172,-109.53743532716 31.3050141445254,-109.537404314817 31.3047335856854,-109.537375266724 31.3044516154019,-109.537350023868 31.3041428012676,-109.537324925372 31.3038246768162,-109.537294991356 31.3034957593605,-109.537253222339 31.3032358326364,-109.537197312755 31.3028743850436,-109.537141403664 31.3025129397845,-109.537110747464 31.3018437758356,-109.537059752954 31.3014792808427,-109.537015323458 31.3011440903388,-109.536978638254 31.3007663942129,-109.536941206849 31.3004592972354,-109.538015086361 31.3004576586287,-109.538850165485 31.3004449653378,-109.539748121542 31.3004325398517,-109.540836671965 31.3004296381268,-109.540850976825 31.300717721291,-109.540869785853 31.3010965236498,-109.54091721394 31.3014197095222,-109.540943308638 31.3017824429267,-109.541057460074 31.3024518908063,-109.541108627286 31.302799000891,-109.541194764777 31.3031742584567,-109.541222434297 31.3034453273104,-109.541243922115 31.3038261453945,-109.541279317662 31.3041454579974,-109.541293246542 31.304443414951,-109.541314164598 31.3047287590742,-109.541346054236 31.3050072275907,-109.541369404621 31.305261154523,-109.541428791199 31.3056241810244,-109.541452377599 31.3059900710379,-109.541498438182 31.306390133953,-109.541545142361 31.3067254450582,-109.541589794033 31.3071484440847,-109.541621322551 31.3074304178905,-109.541652851103 31.3077123725956,-109.540522084089 31.3077466555053,-109.539654623447 31.3077647428815,-109.53884572661 31.3077731340253,-109.537741130401 31.3077761903287)),((-109.544591541102 31.2954264645319,-109.544572897458 31.2946995049567,-109.544559943587 31.2941943429376,-109.54454933871 31.293780817576,-109.544539601465 31.2934011083651,-109.543504473286 31.2933501274846,-109.542697216529 31.2933595761736,-109.541401255481 31.293374719175,-109.541219402947 31.2933789604613,-109.540280256531 31.2933843237375,-109.539085824771 31.2933970820678,-109.538411251167 31.2934202023408,-109.537996221225 31.2934344255715,-109.538029913902 31.2928992357748,-109.538030845753 31.2924408384669,-109.538029568759 31.2920219420384,-109.538005486927 31.2910663519756,-109.538004788765 31.2901535990282,-109.537999487129 31.2892537054219,-109.53793460979 31.2883083386944,-109.537947011865 31.2874931264751,-109.537902049256 31.286588964304,-109.537937047798 31.2856495084132,-109.537911364964 31.2847011187608,-109.537918620071 31.2831264388857,-109.553079999653 31.2829133357863,-109.553104693956 31.284713392486,-109.553117178865 31.2856234748746,-109.553129895523 31.2865504701988,-109.553141956991 31.2874296629704,-109.55313536922 31.288332652468,-109.553128997599 31.2892058287875,-109.553118774637 31.2897030799579,-109.553108449885 31.2902052106365,-109.553091117801 31.2910481699106,-109.553072851252 31.2919365338667,-109.553120502287 31.292814613499,-109.552051086329 31.2928238850426,-109.551047709311 31.2928325751324,-109.549934377938 31.2928422090742,-109.548943021277 31.2928507870717,-109.548945649266 31.2933170384065,-109.54894827623 31.2937832892248,-109.548950790293 31.2942293066823,-109.548953303274 31.2946753227739,-109.54895758026 31.2954342551689,-109.547889585471 31.295468358133,-109.546805393258 31.2955250737736,-109.545728652345 31.2955511282386,-109.544591541102 31.2954264645319)))","Agua Prieta, Buenos Aires"
"MULTIPOLYGON (((-109.54508708195 31.3003892712069,-109.545054473972 31.3000562679717,-109.545018019544 31.2996839798344,-109.544987961912 31.2993770101448,-109.544957903384 31.2990700402526,-109.544930506934 31.2987798756302,-109.544903109568 31.2984897108321,-109.544879004038 31.2982642629529,-109.544841340872 31.2978796083904,-109.544811745914 31.2975773658328,-109.544779360826 31.2972484832976,-109.54474751604 31.2969213862398,-109.544677693647 31.2962523455917,-109.544645410514 31.2959427810145,-109.544621867745 31.2957171298669,-109.544591541102 31.2954264645319,-109.545728652345 31.2955511282386,-109.546805393258 31.2955250737736,-109.547889585471 31.295468358133,-109.54895758026 31.2954342551689,-109.549990895461 31.2954624199297,-109.550708897119 31.2954816740802,-109.552076620272 31.295490939905,-109.553116416463 31.2954977597503,-109.553859876652 31.2954811069425,-109.55473689494 31.2954705509166,-109.555632941065 31.29548167522,-109.556627068487 31.2954830672759,-109.556770059773 31.2968521059688,-109.556767800051 31.2971407920088,-109.556752583075 31.2974339369127,-109.555730438608 31.2974761910418,-109.554841873168 31.2974725166526,-109.553949973051 31.2974917958024,-109.553032483915 31.2975116274322,-109.552105352146 31.2975316618919,-109.550905027259 31.2975566896204,-109.550945603136 31.2978520695551,-109.5509958998 31.2982181544783,-109.551041944645 31.2985525652262,-109.551087991721 31.2988869908764,-109.55113624949 31.2992372704268,-109.551184509238 31.2995875432698,-109.55123261781 31.299937140669,-109.551246903712 31.3000409283925,-109.551287381754 31.3003350611734,-109.550156824899 31.3003460414277,-109.549079799436 31.3003564915905,-109.54815331818 31.3003653839867,-109.547071643728 31.3003659027905,-109.546080566957 31.3003867316516,-109.54508708195 31.3003892712069)))","Agua Prieta, Buenos Aires"
"MULTIPOLYGON (((-109.591232487708 31.3290685693735,-109.591230724778 31.3289020542107,-109.59112470241 31.3286931467083,-109.591221857069 31.3280640486186,-109.591285636453 31.3273890535972,-109.595625037344 31.3271642137604,-109.59527714435 31.3290526229308,-109.591232487708 31.3290685693735)))","Agua Prieta, Campanario"
